NUMBER	COUNT
1	1
2	1
3	3
4	3
5	7
6	6
7	4
8	3
9	5
10	4
11	7
12	5
13	4
14	6
15	6
16	8
17	4
18	5
19	5
20	4
21	4
22	9
23	9
24	8
25	9
26	8
27	6
28	6
29	6
30	6
31	11
32	7
33	7
34	7
35	7
36	10
37	10
38	10
39	8
40	6
41	10
42	6
43	7
44	5
45	5
46	5
47	10
48	6
49	10
50	10
51	10
52	6
53	6
54	6
55	6
56	5
57	8
58	5
59	8
60	5
61	5
62	10
63	10
64	5
65	7
66	7
67	7
68	7
69	7
70	7
71	8
72	10
73	6
74	10
75	7
76	10
77	10
78	11
79	11
80	5
81	10
82	9
83	9
84	5
85	5
86	12
87	12
88	6
89	12
90	6
91	7
92	6
93	6
94	6
95	6
96	5
97	9
98	9
99	9
100	9
101	9
102	9
103	7
104	5
105	9
106	5
107	10
108	9
109	9
110	9
111	8
112	5
113	5
114	8
115	8
116	5
117	5
118	8
119	8
120	5
121	6
122	5
123	11
124	10
125	10
126	10
127	11
128	4
129	6
130	7
131	7
132	7
133	7
134	7
135	7
136	9
137	8
138	9
139	7
140	9
141	9
142	6
143	6
144	9
145	6
146	6
147	6
148	9
149	9
150	9
151	9
152	9
153	11
154	9
155	13
156	11
157	11
158	11
159	7
160	8
161	10
162	9
163	9
164	6
165	6
166	6
167	8
168	8
169	11
170	8
171	11
172	8
173	8
174	8
175	11
176	6
177	8
178	8
179	8
180	6
181	6
182	7
183	7
184	6
185	6
186	6
187	6
188	11
189	11
190	11
191	6
192	7
193	6
194	6
195	6
196	7
197	7
198	7
199	6
200	7
201	6
202	7
203	7
204	7
205	7
206	13
207	13
208	7
209	7
210	7
211	7
212	7
213	7
214	10
215	10
216	9
217	7
218	9
219	7
220	9
221	9
222	9
223	9
224	10
225	7
226	7
227	7
228	8
229	8
230	8
231	5
232	10
233	6
234	10
235	5
236	8
237	8
238	8
239	7
240	10
241	10
242	10
243	10
244	10
245	10
246	7
247	7
248	10
249	7
250	10
251	8
252	10
253	10
254	7
255	7
256	6
257	12
258	12
259	12
260	7
261	7
262	7
263	12
264	7
265	12
266	7
267	10
268	7
269	7
270	8
271	8
272	5
273	7
274	7
275	7
276	5
277	5
278	8
279	8
280	5
281	8
282	5
283	6
284	10
285	10
286	10
287	8
288	10
289	7
290	9
291	9
292	9
293	9
294	9
295	6
296	10
297	11
298	10
299	9
300	5
301	5
302	5
303	8
304	10
305	11
306	11
307	11
308	10
309	10
310	13
311	13
312	11
313	8
314	11
315	11
316	11
317	11
318	6
319	6
320	6
321	10
322	10
323	10
324	10
325	10
326	10
327	10
328	6
329	11
330	6
331	10
332	6
333	6
334	8
335	8
336	6
337	6
338	11
339	11
340	6
341	6
342	11
343	11
344	8
345	11
346	8
347	11
348	8
349	8
350	10
351	10
352	5
353	11
354	8
355	8
356	8
357	8
358	8
359	11
360	5
361	6
362	5
363	6
364	7
365	7
366	7
367	6
368	5
369	5
370	6
371	6
372	5
373	5
374	6
375	6
376	10
377	6
378	10
379	9
380	10
381	10
382	6
383	6
384	7
385	8
386	7
387	7
388	7
389	7
390	7
391	7
392	7
393	9
394	7
395	11
396	7
397	7
398	7
399	7
400	7
401	5
402	5
403	5
404	7
405	7
406	11
407	11
408	7
409	11
410	7
411	8
412	7
413	7
414	7
415	8
416	7
417	8
418	11
419	11
420	11
421	11
422	11
423	8
424	7
425	9
426	7
427	7
428	8
429	8
430	8
431	11
432	6
433	7
434	7
435	7
436	6
437	6
438	7
439	7
440	6
441	7
442	6
443	7
444	11
445	11
446	11
447	10
448	10
449	6
450	7
451	7
452	7
453	7
454	7
455	11
456	11
457	7
458	11
459	7
460	11
461	11
462	7
463	7
464	10
465	11
466	6
467	6
468	10
469	10
470	7
471	7
472	11
473	11
474	11
475	7
476	11
477	11
478	7
479	7
480	10
481	11
482	10
483	10
484	10
485	10
486	10
487	7
488	10
489	11
490	10
491	7
492	11
493	11
494	11
495	10
496	9
497	10
498	11
499	11
500	9
501	9
502	8
503	8
504	9
505	11
506	9
507	11
508	11
509	11
510	11
511	11
512	5
513	11
514	11
515	11
516	11
517	11
518	11
519	11
520	12
521	11
522	12
523	11
524	12
525	12
526	6
527	6
528	12
529	12
530	11
531	11
532	12
533	12
534	10
535	10
536	12
537	10
538	12
539	11
540	6
541	6
542	6
543	9
544	6
545	6
546	12
547	12
548	7
549	7
550	7
551	6
552	6
553	9
554	6
555	12
556	6
557	6
558	6
559	7
560	6
561	6
562	6
563	6
564	6
565	6
566	11
567	11
568	6
569	9
570	6
571	12
572	6
573	6
574	6
575	6
576	9
577	12
578	12
579	12
580	9
581	9
582	9
583	12
584	9
585	9
586	9
587	9
588	9
589	9
590	9
591	9
592	9
593	8
594	8
595	8
596	9
597	9
598	9
599	9
600	6
